SDG_id,SDG_keywords,match_tpye
SDG1_general,"(sdg|goal)[^0-9]{0,2}(?=1\b)|No Poverty",direct
SDG2_general,"(sdg|goal)[^0-9]{0,2}(?=2\b)|Zero Hunger",direct
SDG3_general,"(sdg|goal)[^0-9]{0,2}(?=3\b)|Good Health and Well-being",direct
SDG4_general,"(sdg|goal)[^0-9]{0,2}(?=4\b)|Quality Education",direct
SDG5_general,"(sdg|goal)[^0-9]{0,2}(?=5\b)|Gender Equality",direct
SDG6_general,"(sdg|goal)[^0-9]{0,2}(?=6\b)|Clean Water and Sanitation",direct
SDG7_general,"(sdg|goal)[^0-9]{0,2}(?=7\b)|Affordable and Clean Energy",direct
SDG8_general,"(sdg|goal)[^0-9]{0,2}(?=8\b)|Decent Work and Economic Growth",direct
SDG9_general,"(sdg|goal)[^0-9]{0,2}(?=9\b)|Industry, Innovation, and Infrastructure",direct
SDG10_general,"(sdg|goal)[^0-9]{0,2}(?=10\b)|Reducing Inequality",direct
SDG11_general,"(sdg|goal)[^0-9]{0,2}(?=11\b)|Sustainable Cities and Communities",direct
SDG12_general,"(sdg|goal)[^0-9]{0,2}(?=12\b)|Responsible Consumption and Production",direct
SDG13_general,"(sdg|goal)[^0-9]{0,2}(?=13\b)|Climate Action",direct
SDG14_general,"(sdg|goal)[^0-9]{0,2}(?=14\b)|Life Below Water",direct
SDG15_general,"(sdg|goal)[^0-9]{0,2}(?=15\b)|Life On Land",direct
SDG16_general,"(sdg|goal)[^0-9]{0,2}(?=16\b)|Peace, Justice, and Strong Institutions",direct
SDG17_general,"(sdg|goal)[^0-9]{0,2}(?=17\b)|Partnerships for the Goals",direct
SDG1_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=1\.1[\.]{0,1})",direct
SDG1_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=1\.2[\.]{0,1})",direct
SDG1_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=1\.3[\.]{0,1})",direct
SDG1_4,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=1\.4[\.]{0,1})",direct
SDG1_5,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=1\.5[\.]{0,1})",direct
SDG1_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=1\.a[\.]{0,1})",direct
SDG1_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=1\.b[\.]{0,1})",direct
SDG2_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=2\.1[\.]{0,1})",direct
SDG2_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=2\.2[\.]{0,1})",direct
SDG2_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=2\.3[\.]{0,1})",direct
SDG2_4,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=2\.4[\.]{0,1})",direct
SDG2_5,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=2\.5[\.]{0,1})",direct
SDG2_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=2\.a[\.]{0,1})",direct
SDG2_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=2\.b[\.]{0,1})",direct
SDG2_c,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=2\.c[\.]{0,1})",direct
SDG3_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=3\.1[\.]{0,1})",direct
SDG3_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=3\.2[\.]{0,1})",direct
SDG3_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=3\.3[\.]{0,1})",direct
SDG3_4,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=3\.4[\.]{0,1})",direct
SDG3_5,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=3\.5[\.]{0,1})",direct
SDG3_6,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=3\.6[\.]{0,1})",direct
SDG3_7,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=3\.7[\.]{0,1})",direct
SDG3_8,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=3\.8[\.]{0,1})",direct
