SDG_id,soc,env,econ
SDG1_general,1.00,,
SDG2_general,0.50,0.50,
SDG3_general,1.00,,
SDG4_general,1.00,,
SDG5_general,1.00,,
SDG6_general,,1.00,
SDG7_general,0.50,0.50,
SDG8_general,,,1.00
SDG9_general,,,1.00
SDG10_general,1.00,,
SDG11_general,1.00,,
SDG12_general,,0.50,0.50
SDG13_general,,1.00,
SDG14_general,,1.00,
SDG15_general,,1.00,
SDG16_general,1.00,,
SDG17_general,1.00,,
SDG1_1,1.00,,
SDG1_2,1.00,,
SDG1_3,1.00,,
SDG1_4,1.00,,
SDG1_5,1.00,,
SDG1_a,1.00,,
SDG1_b,1.00,,
SDG2_1,1.00,,
SDG2_2,1.00,,
SDG2_3,,,1.00
SDG2_4,,1.00,
SDG2_5,,1.00,
SDG2_a,,,1.00
SDG2_b,,,1.00
SDG2_c,,,1.00
SDG3_1,1.00,,
SDG3_2,1.00,,
SDG3_3,1.00,,
SDG3_4,1.00,,
SDG3_5,1.00,,
SDG3_6,1.00,,
SDG3_7,1.00,,
SDG3_8,1.00,,
SDG3_9,0.50,0.50,
SDG3_a,1.00,,
SDG3_b,1.00,,
SDG3_c,1.00,,
SDG3_d,1.00,,
SDG4_1,1.00,,
SDG4_2,1.00,,
SDG4_3,1.00,,
SDG4_4,1.00,,
SDG4_5,1.00,,
SDG4_6,1.00,,
SDG4_7,1.00,,
SDG4_a,1.00,,
SDG4_b,1.00,,
SDG4_c,1.00,,
SDG5_1,1.00,,
SDG5_2,1.00,,
SDG5_3,1.00,,
SDG5_4,1.00,,
SDG5_5,1.00,,
SDG5_6,1.00,,
SDG5_a,1.00,,
SDG5_b,1.00,,
SDG5_c,1.00,,
SDG6_1,0.50,0.50,
SDG6_2,1.00,,
SDG6_3,,1.00,
SDG6_4,,1.00,
SDG6_5,,1.00,
SDG6_6,,1.00,
SDG6_a,0.50,0.50,
SDG6_b,1.00,,
SDG7_1,1.00,,
SDG7_2,,1.00,
SDG7_3,,,1.00
SDG7_a,,1.00,
SDG7_b,1.00,,
SDG8_1,,,1.00
SDG8_2,,,1.00
SDG8_3,,,1.00
SDG8_4,,,1.00
SDG8_5,,0.50,0.50
SDG8_6,1.00,,
SDG8_7,1.00,,
SDG8_8,1.00,,
SDG8_9,0.50,,0.50
SDG8_10,0.50,,0.50
SDG8_a,0.50,,0.50
SDG8_b,0.50,,0.50
SDG9_1,0.50,,0.50
SDG9_2,,,1.00
SDG9_3,,,1.00
SDG9_4,,0.50,0.50
SDG9_5,,,1.00
SDG9_a,,,1.00
SDG9_b,,,1.00
SDG9_c,0.50,,0.50
SDG10_1,,,1.00
SDG10_2,1.00,,
SDG10_3,1.00,,
SDG10_4,0.50,,0.50
SDG10_5,,,1.00
SDG10_6,1.00,,
SDG10_7,1.00,,
SDG10_a,1.00,,
SDG10_b,0.50,,0.50
SDG10_c,0.50,,0.50
SDG11_1,1.00,,
SDG11_2,1.00,,
SDG11_3,1.00,,
SDG11_4,1.00,,
SDG11_5,1.00,,
SDG11_6,,1.00,
SDG11_7,1.00,,
SDG11_a,0.33,0.33,0.33
SDG11_b,0.50,0.50,
SDG11_c,0.33,0.33,0.33
SDG12_1,,0.50,0.50
SDG12_2,,0.50,0.50
SDG12_3,,0.50,0.50
SDG12_4,,1.00,
SDG12_5,,1.00,
SDG12_6,,1.00,
SDG12_7,,1.00,
SDG12_8,0.50,0.50,
SDG12_a,,0.50,0.50
SDG12_b,0.33,0.33,0.33
SDG12_c,,0.50,0.50
SDG13_1,,1.00,
SDG13_2,,1.00,
SDG13_3,0.50,0.50,
SDG13_a,0.50,0.50,
SDG13_b,0.50,0.50,
SDG14_1,,1.00,
SDG14_2,,1.00,
SDG14_3,,1.00,
SDG14_4,,1.00,
SDG14_5,,1.00,
SDG14_6,,1.00,
SDG14_7,,0.50,0.50
SDG14_a,,1.00,
SDG14_b,1.00,,
SDG14_c,,1.00,
SDG15_1,,1.00,
SDG15_2,,1.00,
SDG15_3,,1.00,
SDG15_4,,1.00,
SDG15_5,,1.00,
SDG15_6,1.00,,
SDG15_7,,1.00,
SDG15_8,,1.00,
SDG15_9,,1.00,
SDG15_a,,1.00,
SDG15_b,,1.00,
SDG15_c,,1.00,
SDG16_1,1.00,,
SDG16_2,1.00,,
SDG16_3,1.00,,
SDG16_4,1.00,,
SDG16_5,1.00,,
SDG16_6,1.00,,
SDG16_7,1.00,,
SDG16_8,1.00,,
SDG16_9,1.00,,
SDG16_10,1.00,,
SDG16_a,1.00,,
SDG16_b,1.00,,
SDG17_1,,,1.00
SDG17_2,,,1.00
SDG17_3,,,1.00
SDG17_4,,,1.00
SDG17_5,,,1.00
SDG17_6,1.00,,
SDG17_7,0.50,0.50,
SDG17_8,1.00,,
SDG17_9,1.00,,
SDG17_10,,,1.00
SDG17_11,,,1.00
SDG17_12,,,1.00
SDG17_13,,,1.00
SDG17_14,1.00,,
SDG17_15,1.00,,
SDG17_16,1.00,,
SDG17_17,1.00,,
SDG17_18,1.00,,
SDG17_19,,,1.00
